Taluka,lx,ly,ux,uy
Nandura,76.2,20.7,76.5,21.0
Sangrampur,76.5,21.0,76.5,21.0
Shegaon,76.4,20.6,76.8,20.9
Sindkhed-Raja,76.0,19.8,76.5,20.3
Ballarpur,79.5,19.9,79.5,20.0
Bhadravati,79.0,20.0,79.5,20.4
Bramhapuri,79.7,20.3,80.0,20.7
Chandrapur,79.1,19.8,79.7,20.2
Chimur,79.2,20.3,79.6,20.7
Gondpipri,79.5,19.5,79.8,19.9
Jiwati,79.3,19.6,79.3,19.6
Korpana,78.8,19.7,79.2,19.9
Mul,79.6,20.1,79.6,20.1
Nagbhir,79.5,20.3,79.8,20.7
Pomburna,79.5,19.8,79.8,19.9
Rajura,79.1,19.5,79.5,19.9
Saoli,79.7,20.0,80.0,20.3
Sindewahi,79.4,20.1,79.8,20.4
